Well_ID	Experimental	Reference	Gated.on
Specimen_001_A1_A01.fcs	432	519	519
Specimen_001_A2_A02.fcs	432	519	519
Specimen_001_A3_A03.fcs	432	519	519
Specimen_001_A4_A04.fcs	432	519	519
Specimen_001_A5_A05.fcs	432	519	519
Specimen_001_A6_A06.fcs	432	519	519
Specimen_001_A7_A07.fcs	432	519	519
Specimen_001_A8_A08.fcs	432	519	519
Specimen_001_A9_A09.fcs	432	519	519
Specimen_001_A10_A10.fcs	432	519	519
Specimen_001_A11_A11.fcs	432	519	519
Specimen_001_A12_A12.fcs	432	519	519
Specimen_001_B1_B01.fcs	432	519	519
Specimen_001_B2_B02.fcs	432	519	519
Specimen_001_B3_B03.fcs	432	519	519
Specimen_001_B4_B04.fcs	432	519	519
Specimen_001_B5_B05.fcs	432	519	519
Specimen_001_B6_B06.fcs	432	519	519
Specimen_001_B7_B07.fcs	432	519	519
Specimen_001_B8_B08.fcs	432	519	519
Specimen_001_B9_B09.fcs	432	519	519
Specimen_001_B10_B10.fcs	432	519	519
Specimen_001_B11_B11.fcs	432	519	519
Specimen_001_B12_B12.fcs	432	519	519
Specimen_001_C1_C01.fcs	432	519	519
Specimen_001_C2_C02.fcs	432	519	519
Specimen_001_C3_C03.fcs	432	519	519
Specimen_001_C4_C04.fcs	432	519	519
Specimen_001_C5_C05.fcs	432	519	519
Specimen_001_C6_C06.fcs	432	519	519
Specimen_001_C7_C07.fcs	432	519	519
Specimen_001_C8_C08.fcs	432	519	519
Specimen_001_C9_C09.fcs	432	519	519
Specimen_001_C10_C10.fcs	432	519	519
Specimen_001_C11_C11.fcs	432	519	519
Specimen_001_C12_C12.fcs	432	519	519
Specimen_001_D1_D01.fcs	432	519	519
Specimen_001_D2_D02.fcs	432	519	519
Specimen_001_D3_D03.fcs	432	519	519
Specimen_001_D4_D04.fcs	432	519	519
Specimen_001_D5_D05.fcs	432	519	519
Specimen_001_D6_D06.fcs	432	519	519
Specimen_001_D7_D07.fcs	432	519	519
Specimen_001_D8_D08.fcs	432	519	519
Specimen_001_D9_D09.fcs	432	519	519
Specimen_001_D10_D10.fcs	432	519	519
Specimen_001_D11_D11.fcs	432	519	519
Specimen_001_D12_D12.fcs	432	519	519
Specimen_001_E1_E01.fcs	432	519	519
Specimen_001_E2_E02.fcs	432	519	519
Specimen_001_E3_E03.fcs	432	519	519
Specimen_001_E4_E04.fcs	432	519	519
Specimen_001_E5_E05.fcs	432	519	519
Specimen_001_E6_E06.fcs	432	519	519
Specimen_001_E7_E07.fcs	432	519	519
Specimen_001_E8_E08.fcs	432	519	519
Specimen_001_E9_E09.fcs	432	519	519
Specimen_001_E10_E10.fcs	432	519	519
Specimen_001_E11_E11.fcs	432	519	519
Specimen_001_E12_E12.fcs	432	519	519
Specimen_001_F1_F01.fcs	432	519	519
Specimen_001_F2_F02.fcs	432	519	519
Specimen_001_F3_F03.fcs	432	519	519
Specimen_001_F4_F04.fcs	432	519	519
Specimen_001_F5_F05.fcs	432	519	519
Specimen_001_F6_F06.fcs	432	519	519
Specimen_001_F7_F07.fcs	432	519	519
Specimen_001_F8_F08.fcs	432	519	519
Specimen_001_F9_F09.fcs	432	519	519
Specimen_001_F10_F10.fcs	432	519	519
Specimen_001_F11_F11.fcs	432	519	519
Specimen_001_F12_F12.fcs	432	519	519
Specimen_001_G1_G01.fcs	432	519	519
Specimen_001_G2_G02.fcs	432	519	519
Specimen_001_G3_G03.fcs	432	519	519
Specimen_001_G4_G04.fcs	432	519	519
Specimen_001_G5_G05.fcs	432	519	519
Specimen_001_G6_G06.fcs	432	519	519
Specimen_001_G7_G07.fcs	432	519	519
Specimen_001_G8_G08.fcs	432	519	519
Specimen_001_G9_G09.fcs	432	519	519
Specimen_001_G10_G10.fcs	432	519	519
Specimen_001_G11_G11.fcs	432	519	519
Specimen_001_G12_G12.fcs	432	519	519
Specimen_001_H1_H01.fcs	432	519	519
Specimen_001_H2_H02.fcs	432	519	519
Specimen_001_H3_H03.fcs	432	519	519
Specimen_001_H4_H04.fcs	432	519	519
Specimen_001_H5_H05.fcs	432	519	519
Specimen_001_H6_H06.fcs	432	519	519
Specimen_001_H7_H07.fcs	432	519	519
Specimen_001_H8_H08.fcs	432	519	519
Specimen_001_H9_H09.fcs	432	519	519
Specimen_001_H10_H10.fcs	432	519	519
Specimen_001_H11_H11.fcs	432	519	519
Specimen_001_H12_H12.fcs	432	519	519
